Designator,Mid X,Mid Y,Rotation,Layer
C1,-55.73,-2.35,90.0,top
C2,-56.98,-4.35,180.0,top
C3,-58.98,-4.35,0.0,top
C4,-97.73,-2.35,90.0,top
C5,-98.98,-4.35,180.0,top
C6,-100.98,-4.35,0.0,top
C7,-137.73,-2.35,90.0,top
C8,-138.98,-4.35,180.0,top
C9,-140.98,-4.35,0.0,top
J1,0.0,0.0,0.0,top
U1,-58.0,-2.3,0.0,top
U2,-100.0,-2.3,0.0,top
U3,-140.0,-2.3,0.0,top
