Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C7",0402,3,4u7,C23733
"C2, C5, C8",0402,3,100n,C1525
"C3, C6, C9",0402,3,10n,C15195
J1,FPC_8P_P0.5mm,1,Conn_01x08_Pin,
"U1, U2, U3",LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,3,ICM-42688-P,C1850418
